phase,status,cost,drift_max,theta_rate,fig8_phase,t_escape,binary,alpha_dtg,beta_dtg,tau_theta,dtheta_max,theta_min,theta_max,k_ctrl,k_ctrl_e,k_nu,k_nu_ed,nu0,nu_max,dt,tmax,ic,alpha,dtg,no_plots,lyap_light,adaptive_step,adapt_r_trigger,adapt_factor,min_max_step,run_dir
explore@1,ok,43.42785992090054,0.8704901751748693,0.012080852995471828,1.4396007697205273,nan,0,0.6,0.47429178420504736,0.9171387806325885,0.16,0.949741637154953,2.0,0.21419991036809002,0.5359693020561446,0.0,0.1857320840829528,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.474_tau0.917_d0.160_thmin0.950_kc0.214_ke0.536_knued0.186_20250906-151241_55913_6541
explore@1,ok,33.22235443787474,0.6675454006195641,0.017877204975035917,1.4403588583827727,nan,0,0.6,0.7056884766273596,0.8631574878785153,0.08,0.98,2.0,0.21879267947410821,0.3,0.0,0.17952066367007002,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.706_tau0.863_d0.080_thmin0.980_kc0.219_ke0.300_knued0.180_20250906-151241_55914_7643
explore@1,ok,39.057824079947814,0.7833686212392269,0.017090731927039464,1.3492491568578378,nan,0,0.6,0.6771761735492047,0.6003881772869647,0.16,0.9696966005965675,2.0,0.2797421053667031,0.3693495008685834,0.0,0.2674186791434682,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.677_tau0.600_d0.160_thmin0.970_kc0.280_ke0.369_knued0.267_20250906-151241_55911_6567
explore@1,ok,30.95991144471407,0.6209004968211002,0.012966387734617939,1.3886237974868914,nan,0,0.6,0.5120124290524972,0.7228819946581386,0.16,0.9694700225617254,2.0,0.2788021076088787,0.5113650014050475,0.0,0.25448973326627994,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.512_tau0.723_d0.160_thmin0.969_kc0.279_ke0.511_knued0.254_20250906-151301_55912_9606
explore@1,ok,31.88600893268897,0.6395784829259524,0.016713188791819922,1.3144583142261261,nan,0,0.6,0.6623912454643684,0.9448432225699359,0.14581992439098107,0.9527271124285234,2.0,0.23802764811769614,0.47874351881933175,0.0,0.281872694904113,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.662_tau0.945_d0.146_thmin0.953_kc0.238_ke0.479_knued0.282_20250906-151301_55911_3058
explore@1,ok,35.97685948367325,0.7210588898295672,0.010044986518835638,1.4390878565418883,nan,0,0.6,0.39307452422811356,1.1800914721284843,0.08,0.9244739850033677,2.0,0.28383554321684257,0.3242165229334079,0.0,0.18927892514810007,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.393_tau1.180_d0.080_thmin0.924_kc0.284_ke0.324_knued0.189_20250906-151301_55913_6667
explore@1,ok,31.532094746888678,0.633474540906463,0.01660716704049857,1.4389015700737209,nan,0,0.6,0.6554334912566498,1.1774785105580339,0.15843706266317636,0.98,2.0,0.22079624877845577,0.5290212296417179,0.0,0.1904665389134373,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.655_tau1.177_d0.158_thmin0.980_kc0.221_ke0.529_knued0.190_20250906-151301_55914_7501
explore@1,ok,38.03481641661167,0.7642591809257899,0.02022935885000989,1.4396226029443377,nan,0,0.6,0.8,0.9653329438486518,0.08,0.9758760155427794,2.0,0.25292048519147386,0.5497531510471027,0.0,0.18557070547944876,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.800_tau0.965_d0.080_thmin0.976_kc0.253_ke0.550_knued0.186_20250906-151321_55912_5922
explore@1,ok,32.935811172585446,0.661748515187578,0.017471804507772044,1.4422413542893413,nan,0,0.6,0.6877324865940513,0.6241592796172477,0.08,0.9775153629266657,2.0,0.21935909704740136,0.3951167564640356,0.0,0.15,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.688_tau0.624_d0.080_thmin0.978_kc0.219_ke0.395_knued0.150_20250906-151321_55911_9775
explore@1,ok,33.5807830737238,0.6737080928467752,0.01285617831975656,1.4401494635434824,nan,0,0.6,0.505076918941174,0.7166440449944108,0.08,0.98,2.0,0.15,0.30377053479110977,0.0,0.181377893978815,0.002,0.2,0.002,30.0,exp2,1.0,1,True,True,True,0.02,0.3,0.0002,runs/auto_1510/auto_beta0.505_tau0.717_d0.080_thmin0.980_kc0.150_ke0.304_knued0.181_20250906-151321_55914_2137
