run,k,ke,d,drift_max,theta_rate,fig8_phase
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.05_ke0.5_d0.08,0.05,0.5,0.08,0.0504294033543605,0.0014436288474920288,1.600639797492009
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.05_ke0.5_d0.05,0.05,0.5,0.05,0.0504294033543605,0.0014436288474920288,1.600639797492009
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.05_ke0.5_d0.10,0.05,0.5,0.1,0.0504294033543605,0.0014436288474920288,1.600639797492009
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.05_ke0.3_d0.05,0.05,0.3,0.05,0.0506287253591011,0.0014486247237223914,1.600618218683376
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.05_ke0.3_d0.08,0.05,0.3,0.08,0.0506287253591011,0.0014486247237223914,1.600618218683376
tune1_a0.6_b0.4_tau2.0_nu0.002_k0.05_ke0.3_d0.10,0.05,0.3,0.1,0.0506287253591011,0.0014486247237223914,1.600618218683376
a0.2_b0.6_tau2.0_nu0.002,,,,0.059290746375334,0.0005584815012970423,1.598752719260828
a0.2_b0.4_tau2.0_nu0.002,,,,0.059290746375334,0.0005584815012970423,1.598752719260828
a0.2_b0.4_tau3.0_nu0.002,,,,0.0608668976267584,0.0005520595093183977,1.59794399753663
a0.2_b0.6_tau3.0_nu0.002,,,,0.0608668976267584,0.0005520595093183977,1.59794399753663
v3_spec,,,,0.077963580790784,0.04999999999999636,
dtg_nu0.002,,,,0.0848523132764095,0.0014479215757852602,1.5952619241758064
dtg_nu0.003,,,,0.1292176520299927,0.0022105288009678704,1.6321668663644733
dtg_light,,,,0.1292176520904897,0.02611623623809601,1.6321668663575761
v3_events,,,,0.1292176520995521,0.04999999999999865,
v3_base,,,,0.1292176520995521,0.04999999999999865,
dtg,,,,0.1292176524373577,0.04997692184013595,
dtg_nu0.01,,,,0.1783687428978818,0.005589300745032702,0.854008400323748
dtg_nu0.01,,,,0.1783687428978818,0.005589300745032702,0.854008400323748
