base,esc,bin,hold,rmin_min,drift_end,gate_ratio
runs/out/fine_eps0.0002_ck0.0020,False,True,28.788,0.0156156057572024,-0.4084497245777202,0.6479588010299743
runs/out/dtg_nu0.004,False,True,11.06658280168928,0.0034088665861311,-0.1744956161207296,0.8466307277628032
runs/out/dtg_nu0.003,False,True,7.84187838209667,0.0047631923598651,-0.1292176432484119,0.8076852531181218
runs/out/longrun_nu0.00215,False,True,4.4385,0.0030209923596474,0.8750426795641951,0.044344778276108616
runs/out/longrun1200_nu00218_bh15,True,True,372.156,0.0047216755814038,2.1244372742697633,0.38665326668341665
runs/out/longrun600_gf0.92_nu00218_bh15,True,True,372.156,0.0083929543327921,63.50364892161678,0.6925682685793285
runs/out/longrun600_gf0.94_nu00218_bh15,True,True,372.156,0.0083929543327921,63.50364892161678,0.6925682685793285
runs/out/scan600_nu0.00218_bh15,True,True,372.156,0.0083929543327921,63.50364892161678,0.6925682685793285
runs/out/scan600_nu0.00219_bh15,True,True,169.96800000000002,0.0042147435014778,2.0038646888996747,0.291041772395569
runs/out/scan_gf0.92_nu0.00219_bh1.0,True,True,111.1095,0.0309734719150164,-0.941401432327142,0.9525255934300821
runs/out/scan_gf0.92_nu0.00219_bh1.5,True,True,111.1095,0.0309734719150164,-0.941401432327142,0.9525255934300821
runs/out/scan_gf0.94_nu0.00219_bh1.0,True,True,111.1095,0.0309734719150164,-0.941401432327142,0.9525255934300821
runs/out/scan_gf0.94_nu0.00219_bh1.5,True,True,111.1095,0.0309734719150164,-0.941401432327142,0.9525255934300821
runs/out/longrun_ck0.0026,True,True,58.7295,0.0010915026833136,25420.64089313818,0.21170894145529273
runs/out/longrun_best_nu22,True,True,57.111000000000004,0.0051803267158742,2.281105432146177,0.20945395273023634
runs/out/longrun_nu0.00220,True,True,57.111000000000004,0.0051803267158742,2.281105432146177,0.20945395273023634
runs/out/longrun_nu0.00222_ed010,True,True,50.920500000000004,0.0022563021853118,1426.258848213823,0.3651681741591292
runs/out/longrun_ck0.0024,True,True,39.1395,0.0040606907626817,2952.7005797062316,0.19329903350483246
runs/out/exp_stable_try2,True,True,38.8065,0.0132551456208466,-0.9915442192277109,0.7528811779705508
runs/out/exp_stable_try5,True,True,37.6725,0.0129186914900832,-0.9804243394238638,0.7316067098322542
runs/out/fine2_eps0.00028_ck0.0023,True,True,30.432000000000002,0.0133715473258727,56.96742058905232,0.7404314892127697
runs/out/longrun_300s_dt12,True,True,24.824399999999997,0.0117049377674341,-1.4283855071952916,0.13395946416214335
runs/out/fine2_eps0.00032_ck0.0023,True,True,21.102,0.0129935286539569,49.89619706687857,0.49018774530636733
runs/out/scan600_nu0.00217_bh15,True,True,17.2545,0.0060647950410811,13.17097203656039,0.04994737513156217
runs/out/longrun_nu0.00225,True,True,14.913,0.0087960295481444,60.14102988823824,0.13677431612841937
runs/out/fine_eps0.0004_ck0.0025,True,True,14.0385,0.0156811798665011,9.46481365986381,0.39574010649733754
runs/out/fine2_eps0.00028_ck0.0025,True,True,13.941,0.0181940200038306,1.0001347813327344,0.4993125171870703
runs/out/fine_eps0.0003_ck0.0015,True,True,3.5955,0.0070091629061864,216.94859984694116,0.10154746131346716
runs/out/fine2_eps0.00030_ck0.0023,True,True,2.8425000000000002,0.0159062152651251,2.467494994273916,0.2952926176845579
runs/out/longrun_ck0.0023,True,True,2.8425000000000002,0.0090903816827647,75.28267193572499,0.06328468357658212
runs/out/focus_nu0.0026_kce0.08,True,True,2.781,0.0152118349342674,2.902246032470043,0.24144396390090248
runs/out/focus_nu0.0026_kce0.10,True,True,2.781,0.0152118349342674,2.902246032470043,0.24144396390090248
runs/out/focus_nu0.0026_kce0.12,True,True,2.781,0.0152118349342674,2.902246032470043,0.24144396390090248
runs/out/exp_001,True,True,2.6145,0.0128487604612854,1.621392343750855,0.1821454463638409
runs/out/exp_baseline,True,True,2.6145,0.0128487604612854,1.621392343750855,0.1821454463638409
runs/out/exp_holdfix,True,True,2.6145,0.0128487604612854,1.621392343750855,0.1821454463638409
runs/out/exp_holdfix-250906-235805,True,True,2.6145,0.0128487604612854,1.621392343750855,0.1821454463638409
runs/out/sweep_gf0.80_kce0.15,True,True,2.6145,0.0128487604612854,1.621392343750855,0.1821454463638409
runs/out/sweep_gf0.80_kce0.20,True,True,2.6145,0.0128487604612854,1.621392343750855,0.1821454463638409
runs/out/sweep_gf0.85_kce0.15,True,True,2.6145,0.0128487604612854,1.621392343750855,0.1821454463638409
runs/out/sweep_gf0.85_kce0.20,True,True,2.6145,0.0128487604612854,1.621392343750855,0.1821454463638409
runs/out/sweep_gf0.90_kce0.15,True,True,2.6145,0.0128487604612854,1.621392343750855,0.1821454463638409
runs/out/sweep_gf0.90_kce0.20,True,True,2.6145,0.0128487604612854,1.621392343750855,0.1821454463638409
runs/out/exp_stable_try3,True,True,2.025,0.0168878624450333,1.078898029006397,0.16247093822654435
runs/out/dtg_nu0.002,False,False,0.7586525149976927,0.0072922601839338,-0.0848522320529202,0.726375046142488
runs/out/fine_eps0.0004_ck0.0015,True,False,0.9525,0.01791874637382,1.0181561382296371,0.05999850003749906
runs/out/exp_stable_try4,True,False,0.801,0.0115175740175764,1.2984714320845865,0.03042423939401515
runs/out/fine2_eps0.00028_ck0.0027,True,False,0.7995,0.0123408677989454,8.884295582453646,0.10459738506537336
runs/out/fine2_eps0.00030_ck0.0027,True,False,0.7995,0.0116274137776155,26.731005184237585,0.09159771005724857
runs/out/fine2_eps0.00032_ck0.0025,True,False,0.7995,0.013445922776747,26.279351978316296,0.20269493262668434
runs/out/fine2_eps0.00032_ck0.0027,True,False,0.7995,0.0031000928964312,3999.205206477493,0.0752731181720457
runs/out/fine_eps0.0002_ck0.0015,True,False,0.7995,0.0151284524896425,0.9277242142308044,0.10332241693957651
runs/out/fine_eps0.0002_ck0.0025,True,False,0.7995,0.0155574925308211,4.627256993725075,0.1053473663158421
runs/out/fine_eps0.0003_ck0.0020,True,False,0.7995,0.0131406077116632,27.31665501114487,0.12137196570085748
runs/out/fine_eps0.0004_ck0.0020,True,False,0.7995,0.0120689874496963,19.37858108672011,0.11054723631909202
runs/out/scan_gf0.92_nu0.00217_bh1.0,True,False,0.7995,0.0124458680542688,52.97496737851841,0.048349395632554595
runs/out/scan_gf0.92_nu0.00217_bh1.5,True,False,0.7995,0.0124458680542688,52.97496737851841,0.048349395632554595
runs/out/scan_gf0.94_nu0.00217_bh1.0,True,False,0.7995,0.0124458680542688,52.97496737851841,0.048349395632554595
runs/out/scan_gf0.94_nu0.00217_bh1.5,True,False,0.7995,0.0124458680542688,52.97496737851841,0.048349395632554595
